Date,Clics,Impressions,CTR,Position
2024-04-30,0,1,0%,78
2024-04-29,1,6,16.67%,23.67
2024-04-28,1,3,33.33%,39
2024-04-27,1,7,14.29%,17.71
2024-04-26,0,6,0%,30.67
2024-04-25,1,3,33.33%,30.67
2024-04-24,0,3,0%,18.33
2024-04-23,1,11,9.09%,12.27
2024-04-22,1,7,14.29%,20.14
2024-04-21,0,1,0%,10
2024-04-20,0,2,0%,47
2024-04-19,1,5,20%,11.4
2024-04-18,0,6,0%,31.67
2024-04-17,2,5,40%,21.2
2024-04-16,0,1,0%,13
2024-04-15,0,3,0%,11
2024-04-14,0,1,0%,15
2024-04-13,0,1,0%,3
2024-04-12,0,1,0%,9
2024-04-11,0,0,0%,0
2024-04-10,0,3,0%,11.33
2024-04-09,0,1,0%,6
2024-04-08,1,6,16.67%,34
2024-04-07,0,2,0%,45
2024-04-06,0,0,0%,0
2024-04-05,1,3,33.33%,4.33
2024-04-04,0,0,0%,0
2024-04-03,0,2,0%,67.5
2024-04-02,0,6,0%,31.83
2024-04-01,0,19,0%,13.53
2024-03-31,0,0,0%,0
2024-03-30,0,2,0%,17
2024-03-29,0,0,0%,0
2024-03-28,1,4,25%,24
2024-03-27,0,2,0%,29
2024-03-26,0,0,0%,0
2024-03-25,0,0,0%,0
2024-03-24,1,2,50%,7
2024-03-23,0,0,0%,0
2024-03-22,0,1,0%,85
2024-03-21,0,0,0%,0
2024-03-20,1,1,100%,4
2024-03-19,0,0,0%,0
2024-03-18,0,1,0%,15
2024-03-17,0,0,0%,0
2024-03-16,1,3,33.33%,30.33
2024-03-15,0,3,0%,33.67
